封面,名称,类型,排名,话数,放送时间,导演,声优,脚本,评分,评分人数
https://lain.bgm.tv/pic/cover/s/cd/ad/13552_80asQ.jpg,机动警察 NEW OVA,OVA,194,16,1990年11月22日,未知,冨永みーな、大林隆介、古川登志夫、池水通洋、井上瑤、二又一成、阪脩、千葉繁、榊原良子,[],8.1,389
https://lain.bgm.tv/pic/cover/s/d7/9a/28440_IfcS4.jpg,狼的孩子雨和雪,剧场版,195,1,2012年7月21日,細田守,宮崎あおい、大沢たかお、黒木華、大野百花、春名風花,"['細田守', '貞本義行']",8.0,4719
https://lain.bgm.tv/pic/cover/s/42/29/235128_RYOcp.jpg,JOJO的奇妙冒险 黄金之风,TV,196,39,2018年10月5日,木村泰大、髙橋秀弥,小野賢章、藤原夏海、中村悠一、石上静香、諏訪部順一、鳥海浩輔、山下大輝、榎木淳弥、千本木彩花、小松史法、小西克幸,"['荒木飛呂彦（集英社ジャンプコミックス刊）', '岸田隆宏、片山貴仁（替身设计）']",8.0,4791
https://lain.bgm.tv/pic/cover/s/28/9d/234_hIMht.jpg,AIR,TV,197,13,2005年1月6日,石原立也,小野大輔、川上とも子、岡本麻見、柚木涼香、西村ちなみ、久川綾、冬馬由美、田村ゆかり、今野宏美,"['Key', ""VisualArt's"", '荒谷朋恵']",8.0,7362
https://lain.bgm.tv/pic/cover/s/a8/6a/11577_hKH0y.jpg,偶像大师,TV,198,26,2011年7月7日,錦織敦史,中村繪里子、長谷川明子、今井麻美、仁後真耶子、浅倉杏美、平田宏美、下田麻美、下田麻美、釘宮理恵,"['バンダイナムコゲームス', '錦織敦史']",8.0,3970
https://lain.bgm.tv/pic/cover/s/a7/49/8402_Q9mLv.jpg,吊带袜天使,TV,199,13,2010年10月1日,今石洋之,小笠原亜里沙、伊瀬茉莉也、石井康嗣、吉野裕行、藤村歩、小松由佳、槙口みき、谷山紀章,"['GAINAX', '錦織敦史']",8.0,5554
https://lain.bgm.tv/pic/cover/s/da/aa/2664_S3lsS.jpg,机动战士高达 第08MS小队,OVA,200,11,1996年1月25日,神田武幸（第1話-第6話）、飯田馬之介（第7話以降）,井上喜久子、檜山修之、玄田哲章、藤原啓治、永井一郎、西村ちなみ、藤本譲、速水奨、上恭ノ介,"['矢立肇、富野由悠季', '川元利浩']",8.0,1995
https://lain.bgm.tv/pic/cover/s/5f/df/11658_89hgY.jpg,回忆积木小屋,剧场版,201,1,2008年6月10日,加藤久仁生,,[],8.1,1014
https://lain.bgm.tv/pic/cover/s/c1/ba/10379_dEI33.jpg,装甲骑兵VOTOMS,TV,202,52,1983年4月1日,高橋良輔,郷田ほづみ、弥永和子、梨羽侑里、富田耕生、川浪葉子、千葉繁、政宗一成、上恭ノ介、屋良有作,"['高橋良輔', '塩山紀生']",8.2,321
https://lain.bgm.tv/pic/cover/s/c5/8b/218707_DBmO2.jpg,少女终末旅行,TV,203,12,2017年10月6日,尾崎隆晴,水瀬いのり、久保ユリカ、石田彰、三石琴乃、梶裕貴、花澤香菜、島本須美,"['つくみず（新潮社「くらげバンチ」連載）', '戸田麻衣']",8.0,6422
